Date,values
2015-11-23,2089.409912109375
2015-11-24,2084.419921875
2015-11-25,2089.300048828125
2015-11-26,2089.300048828125
2015-11-27,2088.820068359375
2015-11-28,2088.820068359375
2015-11-29,2088.820068359375
2015-11-30,2090.949951171875
2015-12-01,2082.929931640625
2015-12-02,2101.7099609375
2015-12-03,2080.7099609375
2015-12-04,2051.239990234375
2015-12-05,2051.239990234375
2015-12-06,2051.239990234375
2015-12-07,2090.419921875
2015-12-08,2073.389892578125
2015-12-09,2061.169921875
2015-12-10,2047.9300537109373
2015-12-11,2047.27001953125
2015-12-12,2047.27001953125
2015-12-13,2047.27001953125
2015-12-14,2013.3699951171875
2015-12-15,2025.550048828125
2015-12-16,2046.5
2015-12-17,2073.760009765625
2015-12-18,2040.81005859375
2015-12-19,2040.81005859375
2015-12-20,2040.81005859375
2015-12-21,2010.27001953125
2015-12-22,2023.1500244140625
2015-12-23,2042.199951171875
2015-12-24,2063.52001953125
2015-12-25,2063.52001953125
2015-12-26,2063.52001953125
2015-12-27,2063.52001953125
2015-12-28,2057.77001953125
2015-12-29,2060.5400390625
2015-12-30,2077.340087890625
2015-12-31,2060.590087890625
2016-01-01,2060.590087890625
2016-01-02,2060.590087890625
2016-01-03,2060.590087890625
2016-01-04,2038.199951171875
2016-01-05,2013.780029296875
2016-01-06,2011.7099609375
2016-01-07,1985.3199462890625
2016-01-08,1945.969970703125
2016-01-09,1945.969970703125
2016-01-10,1945.969970703125
2016-01-11,1926.1199951171875
2016-01-12,1927.8299560546875
2016-01-13,1940.3399658203125
2016-01-14,1891.6800537109373
2016-01-15,1916.6800537109373
2016-01-16,1916.6800537109373
2016-01-17,1916.6800537109373
2016-01-18,1916.6800537109373
2016-01-19,1888.6600341796875
2016-01-20,1876.1800537109373
2016-01-21,1861.4599609375
2016-01-22,1877.4000244140625
2016-01-23,1877.4000244140625
2016-01-24,1877.4000244140625
2016-01-25,1906.280029296875
2016-01-26,1878.7900390625
2016-01-27,1902.52001953125
2016-01-28,1885.219970703125
2016-01-29,1894.0
